vertical_position_uncertainty,heading,horizontal_speed_uncertainty,classification,horizontal_speed,horizontal_position_uncertainty,id,vertical_velocity,vertical_velocity_uncertainty,heading_uncertainty,timestamp,map_link_id,sensor_id,query_since,lon,lat,alt,map_matched_lon,map_matched_lat,map_matched_alt,cluster_id_predicted
0.0866805240511894,-170.78988647460938,0.8314007783217752,VEHICLE,0.0411868231740343,0.1591672266416965,5490630.0,0.0049464059993624,0.1498738676309585,9.3602294921875,2023-07-01T13:07:22.235794+09:00,357.0,vista-p90-2,2023-07-01 13:00:00+09:00,139.42842556489558,35.38768403189891,28.752899098396306,139.4284363252129,35.38768217996491,28.752899098396306,195207
0.0881845727562904,-170.82814025878906,0.8320413625474645,VEHICLE,0.0185167912437955,0.1612248307077195,5490630.0,0.0041983360424637,0.1504469960927963,9.372034072875977,2023-07-01T13:07:22.332960+09:00,357.0,vista-p90-2,2023-07-01 13:00:00+09:00,139.42842559837473,35.38768381926493,28.752739119529725,139.42843627436602,35.3876819818441,28.752739119529725,195207
0.0891109704971313,-170.67996978759766,0.8307184733803179,VEHICLE,0.0778122221701854,0.1612127583345756,5490630.0,-0.0006915520061738,0.1503685861825943,9.386024475097656,2023-07-01T13:07:22.433122+09:00,357.0,vista-p90-2,2023-07-01 13:00:00+09:00,139.42842570326553,35.3876841891284,28.748821425437928,139.4284363697116,35.387682353350385,28.748821425437928,195207
0.0933422297239303,-170.64356231689453,0.8358549441896701,VEHICLE,0.0644046479946394,0.1733298745936615,5490630.0,-0.0087841786444187,0.1528623849153518,9.404470443725586,2023-07-01T13:07:22.522543+09:00,357.0,vista-p90-2,2023-07-01 13:00:00+09:00,139.42842569464986,35.387684207461646,28.7414736032486,139.42843637385326,35.387682369488,28.7414736032486,195207
0.0918205752968788,-170.56521606445312,0.8258976656148337,VEHICLE,0.1170892845754445,0.1618218939235718,5490630.0,-0.0008644454064778,0.149562805891037,9.427046775817873,2023-07-01T13:07:22.624901+09:00,357.0,vista-p90-2,2023-07-01 13:00:00+09:00,139.42842561350378,35.387684514119115,28.74771981239319,139.42843644579372,35.387682649798094,28.74771981239319,195207
0.0923052504658699,-170.47949981689453,0.8250052258978904,VEHICLE,0.1093603359178741,0.1619727172333143,5490630.0,0.0012831783387809,0.1487038284540176,9.45566749572754,2023-07-01T13:07:22.727290+09:00,357.0,vista-p90-2,2023-07-01 13:00:00+09:00,139.428425738908,35.38768458547772,28.749618458747864,139.42843646863432,35.387682738794524,28.749618458747864,195207
0.0857194513082504,-170.5278091430664,0.8172742364488723,VEHICLE,0.0387309746708165,0.1435798463488013,5490630.0,0.0105374129489064,0.1434672474861145,9.48751735687256,2023-07-01T13:07:22.829711+09:00,357.0,vista-p90-2,2023-07-01 13:00:00+09:00,139.4284256073898,35.38768407388908,28.75846176147461,139.42843633733125,35.387682227183014,28.75846176147461,195207
0.0848269835114479,-170.60257720947266,0.8210127357623043,VEHICLE,0.0233878005591237,0.14560715506016,5490630.0,0.0087830135598778,0.143378809094429,9.528754234313965,2023-07-01T13:07:22.932138+09:00,357.0,vista-p90-2,2023-07-01 13:00:00+09:00,139.4284250941402,35.38768416683361,28.75797336101532,139.42843633846442,35.387682231598305,28.75797336101532,195207
0.085211656987667,-170.52599334716797,0.8235784214075871,VEHICLE,0.0198367004207261,0.150087908302295,5490630.0,0.0044009299017488,0.1443160474300384,9.575942993164062,2023-07-01T13:07:23.034508+09:00,357.0,vista-p90-2,2023-07-01 13:00:00+09:00,139.4284253422156,35.38768412543901,28.75485019683838,139.42843633878422,35.38768223284436,28.75485019683838,195207
0.0868153646588325,-170.55274963378906,0.8270241892479502,VEHICLE,0.0581949222875949,0.1567024967589147,5490630.0,0.0066556665115058,0.1460717171430587,9.585609436035156,2023-07-01T13:07:23.136972+09:00,357.0,vista-p90-2,2023-07-01 13:00:00+09:00,139.4284250421399,35.38768446416698,28.757388758659364,139.42843640934606,35.38768250778276,28.757388758659364,195207
